Competitii 2026
	Competitie	Data	Info
	Ianuarie		
	1Run	1 ian 2026	https://www.facebook.com/events/2105270947000505
	Gata cu Mâncatul, Hai cu Alergatul!	2 ian 2026	https://www.facebook.com/events/2251959195286836
	Făget Winter Race	24 ian 2026	https://www.facebook.com/events/1592214835481202/
	Crosul Micii Uniri	24 ian 2026	https://www.facebook.com/events/1353731486058610
	Gerar	31 ian 2026	https://gerar.ro/
	Februarie		
	SKV Vertical Race	6-7 feb 2026	https://www.skvb.ro/
	Faget Winter Trail	7 feb 2026	https://runnersclub.ro/faget-winter-tour/
	Winter Run Vâlcea – Buridava	7-8 feb 2026	https://www.ecosport.ro/winter-run-valcea-buridava/
	Viteza pe faleza	8 feb 2026	https://www.facebook.com/events/886505584135004
	Siria Winter Trail	21 feb 2026	https://clubatia.com/siria-winter-trail/
	Team Up & Run	28 feb 2026	https://www.facebook.com/events/686050600540672/
	Martie		
	Scorilo Winter Vertical	1 mar 2026	https://www.scoriloskyrace.ro/
	Crosul Divelor	7 mar 2026	https://runnersclub.ro/evenimente/
	SportGuru Timisoara 21k	8 mar 2026	https://www.facebook.com/events/504588382722354/
	Crosul AMiCUS „Alerg pentru mama”	8 mar 2026	https://amicus.ro/evenimente/crosul-caritabil-alerg-pentru-mama
	Milestii Mici Wine Run	14 mar 2026	https://www.facebook.com/events/584847524635141/
	Primavera Trail Race	14 mar 2026	https://www.primaveratrailrace.ro/ro/
	Crosul pentru Viata	14 mar 2026	https://www.facebook.com/events/s/crosul-pentru-viata-2026/2086242665542139/
	Crosul Primăverii	15 mar 2026	https://www.facebook.com/events/2024235174785611
	WoodLand Series Trail Run	21 mar 2026	https://www.facebook.com/events/1373253737877582/
	Legal Run	22 mar 2026	https://legalrun.ro/
	Crosul AMiCUS „Alerg pentru mama” - Timisoara	22 mar 2026	https://amicus.ro/evenimente/crosul-caritabil-alerg-pentru-mama
	Saruni Trail Race	28 mar 2026	https://www.facebook.com/events/1830897417480990
	Garboavele Trail Run	28 mar 2026	https://www.facebook.com/events/1421956052416890
	Campionatul National de Cros Duatlon	28 mar 2026	https://www.ridecompetition.ro/campionatul-national-de-cross-duatlon-iarcuri-cornesti-trikids-2026/
	Festivalul Sporturilor Baneasa	28-29 mar 2026	https://festivalulsporturilor.ro/
	Wizz Air Marathon Cluj	29 mar 2026	http://maraton-cluj.ro/
	Aprilie		
	Semimaraton Brasov	4 apr 2026	https://semimaraton.ro/
	Ultra Race 24h Galați	4 apr 2026	https://www.facebook.com/ultramaratongalati
